"8/25/22, 7:45 PM",,,,,,,,,,,,,
,,,,"Monthly Total Avg Temperature for MORENCI, MI ",,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2017,945.5,1007.5,1080.5,1555.5,1725.5,1808,2138.5,2100.5,1698.5,1571,1139.5,773,M
2018,692.5,778.5,M,1197,1978.5,2081.5,2278.5,2074,1898.5,1364,931,945.5,M
2019,692.5,721,920.5,1195,1681,1674.5,1924.5,2157,1984,1549.5,M,929.5,M
2020,916,811,1196,1301,1762.5,2093.5,2352.5,2052,1875,1539.5,1312.5,1000.5,18212
2021,898.5,550,1266,M,1758.5,2117.5,2126.5,1945,1669.5,1616,1114.5,1075,M
Mean,829,773.6,1115.8,1312.1,1781.2,1955,2164.1,2065.7,1825.1,1528,1124.4,944.7,18212
,945.5,1007.5,1266,1555.5,1978.5,2117.5,2352.5,2157,1984,1616,1312.5,1075,18212
Max,,,,,,,,,,,,,
,2017,2017,2021,2017,2018,2021,2020,2019,2019,2021,2020,2021,2020
,692.5,550,920.5,1195,1681,1674.5,1924.5,1945,1669.5,1364,931,773,18212
Min,,,,,,,,,,,,,
,2019,2021,2019,2019,2019,2019,2019,2021,2021,2018,2018,2017,2020
,,,,,,,,,,,,,1/1
